source,target,name
CWE-221,CWE-356,ParentOf
CWE-223,CWE-778,ParentOf
CWE-459,CWE-226,ParentOf
CWE-459,CWE-460,ParentOf
CWE-459,CWE-568,ParentOf
CWE-23,CWE-24,ParentOf
CWE-23,CWE-25,ParentOf
CWE-23,CWE-26,ParentOf
CWE-23,CWE-27,ParentOf
CWE-23,CWE-28,ParentOf
CWE-23,CWE-29,ParentOf
CWE-23,CWE-30,ParentOf
CWE-23,CWE-31,ParentOf
CWE-23,CWE-32,ParentOf
CWE-23,CWE-33,ParentOf
CWE-23,CWE-34,ParentOf
CWE-23,CWE-35,ParentOf
CWE-672,CWE-324,ParentOf
CWE-672,CWE-613,ParentOf
CWE-672,CWE-910,ParentOf
CWE-36,CWE-37,ParentOf
CWE-36,CWE-38,ParentOf
CWE-36,CWE-39,ParentOf
CWE-36,CWE-40,ParentOf
CWE-377,CWE-378,ParentOf
CWE-377,CWE-379,ParentOf
CWE-610,CWE-384,ParentOf
CWE-610,CWE-441,ParentOf
CWE-610,CWE-601,ParentOf
CWE-610,CWE-611,ParentOf
CWE-514,CWE-385,ParentOf
CWE-514,CWE-515,ParentOf
CWE-402,CWE-403,ParentOf
CWE-402,CWE-619,ParentOf
CWE-41,CWE-42,ParentOf
CWE-41,CWE-44,ParentOf
CWE-41,CWE-46,ParentOf
CWE-41,CWE-47,ParentOf
CWE-41,CWE-48,ParentOf
CWE-41,CWE-49,ParentOf
CWE-41,CWE-50,ParentOf
CWE-41,CWE-51,ParentOf
CWE-41,CWE-52,ParentOf
CWE-41,CWE-53,ParentOf
CWE-41,CWE-54,ParentOf
CWE-41,CWE-55,ParentOf
CWE-41,CWE-56,ParentOf
CWE-41,CWE-57,ParentOf
CWE-41,CWE-58,ParentOf
CWE-413,CWE-591,ParentOf
CWE-825,CWE-415,ParentOf
CWE-825,CWE-416,ParentOf
CWE-42,CWE-43,ParentOf
CWE-44,CWE-45,ParentOf
CWE-908,CWE-457,ParentOf
CWE-913,CWE-470,ParentOf
CWE-913,CWE-502,ParentOf
CWE-913,CWE-915,ParentOf
CWE-471,CWE-473,ParentOf
CWE-471,CWE-607,ParentOf
CWE-493,CWE-500,ParentOf
CWE-524,CWE-525,ParentOf
CWE-540,CWE-531,ParentOf
CWE-540,CWE-541,ParentOf
CWE-540,CWE-615,ParentOf
CWE-538,CWE-532,ParentOf
CWE-538,CWE-540,ParentOf
CWE-538,CWE-651,ParentOf
CWE-663,CWE-558,ParentOf
CWE-565,CWE-784,ParentOf
CWE-762,CWE-590,ParentOf
CWE-666,CWE-593,ParentOf
CWE-666,CWE-672,ParentOf
CWE-666,CWE-826,ParentOf
CWE-66,CWE-67,ParentOf
CWE-66,CWE-69,ParentOf
CWE-66,CWE-72,ParentOf
CWE-763,CWE-761,ParentOf
CWE-763,CWE-762,ParentOf
CWE-771,CWE-773,ParentOf
CWE-805,CWE-806,ParentOf
CWE-829,CWE-830,ParentOf
CWE-829,CWE-98,ParentOf
CWE-922,CWE-921,ParentOf
CWE-682,CWE-128,ParentOf
CWE-682,CWE-131,ParentOf
CWE-682,CWE-1335,ParentOf
CWE-682,CWE-1339,ParentOf
CWE-682,CWE-135,ParentOf
CWE-682,CWE-190,ParentOf
CWE-682,CWE-191,ParentOf
CWE-682,CWE-193,ParentOf
CWE-682,CWE-369,ParentOf
CWE-682,CWE-468,ParentOf
CWE-682,CWE-469,ParentOf
CWE-131,CWE-467,ParentOf
CWE-190,CWE-680,ParentOf
CWE-696,CWE-1190,ParentOf
CWE-696,CWE-1193,ParentOf
CWE-696,CWE-1280,ParentOf
CWE-696,CWE-179,ParentOf
CWE-696,CWE-408,ParentOf
CWE-362,CWE-1223,ParentOf
CWE-362,CWE-1298,ParentOf
CWE-362,CWE-364,ParentOf
CWE-362,CWE-366,ParentOf
CWE-362,CWE-367,ParentOf
CWE-362,CWE-368,ParentOf
CWE-362,CWE-689,ParentOf
CWE-691,CWE-1265,ParentOf
CWE-691,CWE-1279,ParentOf
CWE-691,CWE-1281,ParentOf
CWE-691,CWE-362,ParentOf
CWE-691,CWE-430,ParentOf
CWE-691,CWE-431,ParentOf
CWE-691,CWE-670,ParentOf
CWE-691,CWE-696,ParentOf
CWE-691,CWE-705,ParentOf
CWE-691,CWE-768,ParentOf
CWE-691,CWE-799,ParentOf
CWE-691,CWE-834,ParentOf
CWE-691,CWE-841,ParentOf
CWE-834,CWE-1322,ParentOf
CWE-834,CWE-674,ParentOf
CWE-834,CWE-835,ParentOf
CWE-179,CWE-180,ParentOf
CWE-179,CWE-181,ParentOf
CWE-705,CWE-248,ParentOf
CWE-705,CWE-382,ParentOf
CWE-705,CWE-395,ParentOf
CWE-705,CWE-396,ParentOf
CWE-705,CWE-397,ParentOf
CWE-705,CWE-455,ParentOf
CWE-705,CWE-584,ParentOf
CWE-705,CWE-698,ParentOf
CWE-248,CWE-600,ParentOf
CWE-367,CWE-363,ParentOf
CWE-364,CWE-432,ParentOf
CWE-364,CWE-828,ParentOf
CWE-364,CWE-831,ParentOf
CWE-828,CWE-479,ParentOf
CWE-670,CWE-480,ParentOf
CWE-670,CWE-483,ParentOf
CWE-670,CWE-617,ParentOf
CWE-670,CWE-783,ParentOf
CWE-480,CWE-481,ParentOf
CWE-480,CWE-482,ParentOf
